route_long_name,route_short_name,agency_id,route_type,route_id
,1,248,3,22686
,1,25,1,3737
,1,254,3,18292
,1,255,3,730
,1,260,3,3264
,1,262,3,16458
,1,270,0,8865
,1,270,3,10130
,1,28,0,12476
,1,281,3,20339
,1,282,3,8101
,1,286,3,16914
,1,287,3,12716
,1,289,3,11505
,1,300,3,7795
,1,303,0,22666
,1,303,3,13318
,1,306,3,10937
,1,31,3,19745
,1,313,0,9391
,1,315,3,12687
,1,317,3,20392
,1,318,0,4112
,1,318,3,13963
,1,323,3,8640
,1,326,3,15128
,1,327,3,21883
,1,329,3,7879
,1,33,0,21327
,1,331,0,1891
,1,332,0,2993
,1,334,3,17419
,1,343,3,15820
,1,344,3,3469
,1,37,0,17231
,1,37,3,14845
,1,38,0,9915
,1,41,3,5716
,1,42,3,708
,1,47,3,16066
,1,5,3,1079
,1,52,0,3974
,1,6,3,8207
,1,66,3,3322
,1,71,0,16290
,1,71,3,5892
,1,75,3,18273
,1,85,3,6801
,1,87,3,14989
,1,91,0,4651
,1,96,0,22114
,1 (Hoyerswerda),227,3,12771
,1 Blau,176,3,6621
,1 SEV,270,3,14256
,10,105,3,16770
,10,105,7,8676
,10,107,3,20489
,10,109,3,12865
,10,11,3,16109
,10,114,3,20249
,10,118,3,14618
,10,122,3,11732
,10,127,3,18919
,10,137,3,7586
,10,139,3,7664
,10,145,3,16195
,10,146,3,17947
,10,149,0,16957
,10,15,3,1586
,10,151,3,8536
,10,16,3,6853
,10,162,3,15084
,10,164,3,18293
,10,176,3,10012
,10,180,3,6786
,10,181,3,17779
,10,182,3,17493
,10,186,0,8994
,10,187,3,8788
,10,188,3,403
,10,194,3,17846
,10,197,3,10344
,10,203,3,8866
,10,216,0,7470
,10,225,3,6590
,10,227,0,8309
,10,229,3,18870
,10,233,3,1682
,10,25,1,5964
,10,254,3,2914
,10,255,3,2525
,10,260,3,22427
,10,261,3,19835
,10,262,3,5521
,10,270,3,19675
,10,276,3,17334
,10,28,0,5622
,10,281,3,9582
,10,282,3,11891
,10,286,3,20307
,10,289,3,13290
,10,29,3,3772
,10,300,3,4468
,10,304,3,11348
,10,306,3,14911
,10,310,3,11375
,10,313,0,14313
,10,315,3,798
,10,318,3,19024
,10,324,0,857
,10,324,1,17396
,10,325,3,12350
,10,329,3,5702
,10,334,3,18925
,10,343,3,16715
,10,344,3,22617
,10,37,3,13230
,10,38,0,19276
,10,41,3,17251
,10,47,3,116
,10,5,3,12971
,10,71,3,5839
,10,75,3,16020
,10,85,3,19625
,10,91,3,9751
,10,96,3,15723
,10/Zackebus,105,3,5383
,10/Zackebus,105,7,2427
,100,10,3,21713
,100,105,3,19267
,100,109,3,14239
,100,116,3,19966
,100,122,3,6548
,100,126,3,3062
,100,139,3,21441
,100,162,3,7587
,100,164,3,11708
,100,171,3,16487
,100,183,3,10054
,100,225,3,6682
,100,233,3,9688
,100,244,3,6780
,100,246,3,21479
,100,247,3,18028
,100,25,3,3363
,100,258,3,14384
,100,27,3,1725
,100,287,3,16408
,100,30,3,15547
,100,300,3,289
,100,314,3,13139
,100,344,3,7233
,100,38,3,20802
,100,6,3,17451
,100,7,3,1334
,100,87,3,17621
,100/172/173,225,3,67
,1000,239,3,14591
,1002,139,3,15787
,1002,143,3,19123
,1003,139,3,19305
,1004,139,3,3597
,1005,118,3,15208
,1006,139,3,1987
,1007,118,3,2090
,1007,139,3,20075
,1008,139,3,12961
,1009,139,3,20732
,100S,344,3,3843
,101,102,0,4520
,101,105,3,4156
,101,109,3,11597
,101,122,3,6392
,101,124,3,11216
,101,126,3,13353
,101,127,3,2227
,101,139,3,5352
,101,14,3,1849
,101,164,3,22169
,101,17,3,8425
,101,176,3,14903
,101,188,3,14438
,101,191,3,21615
,101,197,3,12725
,101,2,3,12648
,101,225,3,22380
,101,243,3,20924
,101,247,3,4834
,101,255,3,12982
,101,258,3,17317
,101,27,3,627
,101,270,3,18475
,101,274,3,13772
,101,276,3,10708
,101,287,3,2082
,101,289,3,3833
,101,30,3,12314
,101,300,3,15617
,101,315,3,18586
,101,316,3,10269
,101,332,3,12886
,101,334,3,806
,101,344,3,14665
,101,37,3,1328
,101,38,3,19676
,101,43,3,12704
,101,46,3,15129
,101,7,3,4268
,101,87,3,3351
,101 R,233,3,22667
,1010,139,3,5000
,1010,164,3,16520
,1012,118,3,8191
,1013,118,3,6944
,1014,118,3,10287
,1014,139,3,16002
,1018,118,3,3108
